"Branch Name";"Swift Code"
"HABIB BANK LIMITED – PARIS";"HABBFRPPXXX"
"HSBC PRIVATE BANK FRANCE – PARIS";"BLICFRPXXXX"
"IKB DEUTSCHE INDUSTRIEBANK A.G. SUCCURSALE DE PARIS – PARIS";"IKBDFRPPXXX"
"IMERYS SA – PARIS";"IMERFRPPXXX"
"ING BELGIUM S.A., SUCCURSALE EN FRANCE – PARIS";"INGBFRPPXXX"
"INTER PARFUMS S.A – PARIS";"IPARFRPPXXX"
"INTESA SANPAOLO SPA – PARIS";"BCITFRPPXXX"
"INVESCO GESTION – PARIS";"INVZFRPPXXX"
"INVESCO GESTION – PARIS";"INVZFRPPMDO"
"IPSEN – PARIS";"IPSNFRPPXXX"
"ISBANK GMBH – PARIS";"ISBKFRPPXXX"
"IXIS ASSET MANAGEMENT – PARIS";"IXIAFRPPXXX"
"JASON INFORMATIQUE – SAINT PAPOUL";"JASOFR2PXXX"
"KBC BANK NV PARIS – PARIS";"KREDFRPPXXX"
"KBC BANK NV PARIS – PARIS";"KREDFRPP416"
"KBL RICHELIEU BANQUE PRIVEE – PARIS";"KBLXFRPPXXX"
"KEPLER CAPITAL MARKETS – PARIS";"JBBRFRPPXXX"
"KOREA EXCHANGE BANK – PARIS";"KOEXFRPPXXX"
"LA COMPAGNIE FINANCIERE ED. DE ROTHSCHILD BANQUE – PARIS";"COFIFRCPXXX"
"LABCO GESTION GIE – PARIS";"LAGEFRPPXXX"
"LAFARGE SA – PARIS";"LAFAFRPPXXX"
"LAMINES MARCHANDS EUROPEENS – TRITH SAINT LEGER";"LMEFFR22XXX"
"LAZARD FRERES BANQUE – PARIS";"LAZPFRCCXXX"
"LAZARD FRERES BANQUE – PARIS";"LAZPFRPPXXX"
"LAZARD FRERES GESTION – PARIS";"LAFGFRPPXXX"
"LEHMAN BROTHERS INTERNATIONAL (EUROPE) PARIS BRANCH – PARIS";"SLIIFRCCXXX"
"LLOYDS TSB BANK PLC, PARIS – PARIS";"LOYDFRPPXXX"
"LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA – PARIS";"LOCYFRPPXXX"
"LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA – PARIS";"LOCYFRPPNDP"
"LVMH – MOET HENNESSY LOUIS VUITTON – PARIS";"LVMHFRPPXXX"
"LYXOR ASSET MANAGEMENT – PARIS";"LAMXFRPPXXX"
"LYXOR INTERNATIONAL ASSET MANAGEMENT – PARIS";"LIMXFRPPXXX"
"MEDICAPITAL BANK PLC, SUCCURSALE EN FRANCE – PARIS";"BMCEFRPPXXX"
"MEGA INTERNATIONAL COMMERCIAL BANK CO. LTD. – PARIS";"ICBCFRPPXXX"
"MERCEDES-BENZ FINANCIAL SERVICES – BAILLY";"DFSDFR22XXX"
"METROPOLE GESTION – PARIS";"METGFRP2XXX"
"MIZUHO CORPORATE BANK LTD. PARIS BRANCH – PARIS";"MHCBFRPPXXX"
"MONABANQ. – WASQUEHAL";"MONNFR22XXX"
"MONTE PASCHI BANQUE S.A. – CANNES";"MONTFRPPCAN"
"MONTE PASCHI BANQUE S.A. – PARIS";"MONTFRPPXXX"
"MTS FRANCE SAS – PARIS";"FMTSFRPPXXX"
"MULTI ACCES BANQUE – PARIS";"CCBPFRPPMAB"
"NATIONAL BANK OF ABU DHABI – PARIS";"NBADFRPPXXX"
"NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC, PARIS BRANCH – PARIS";"NBOKFRPPXXX"
"NATIONAL BANK OF PAKISTAN – PARIS";"NBPAFRPPXXX"
"ODDO ET CIE – PARIS";"ODDOFRPAXXX"
"ODDO ET CIE – PARIS";"ODDOFRPPXXX"
"ODDO ET CIE – PARIS";"ODDOFRPPBKO"
"ODDO ET CIE – PARIS";"ODDOFRPPFEC"
"ODDO ET CIE – PARIS";"ODDOFRPPOAM"
"ODDO ET CIE – PARIS";"ODDOFRPPOCO"
"ODDO ET CIE – PARIS";"ODDOFRPPOOP"
"ODDO ET CIE ENTREPRISE D’INVESTISSEMENT – PARIS";"ODDOFRCPXXX"
"ORBEO – PARIS";"ORBEFRPPXXX"
"OSEO FINANCEMENT – MAISONS ALFORT";"CPMEFRPPXXX"
"OSEO GARANTIE – MAISONS ALFORT";"SFGFFRCPXXX"
"PAREL – PARIS";"PAREFRPPXXX"
"PAREL – PARIS";"PAREFRPPCCL"
"PAREL – PARIS";"PAREFRPPCIB"
"PAREL – PARIS";"PAREFRPPGDU"
"PICTET AND CIE (EUROPE) S.A. SUCCURSALE DE PARIS – PARIS";"PICTFRPPXXX"
"PPR FINANCE – PARIS";"PPRFFRPPXXX"
"PROCAPITAL SA – PARIS";"PROCFRPPXXX"
"PROCAPITAL SA – PARIS";"PROCFRPPPCB"
"PUBLICIS FINANCE SERVICES SA – PARIS";"PUBGFRPPXXX"
"QATAR NATIONAL BANK – PARIS";"QNBAFRPPXXX"
"RABOBANK SUCCURSALE DE PARIS – PARIS";"RABOFRPPXXX"
"RBC DEXIA INVESTOR SERVICES BANK FRANCE – PARIS";"DISFFRPPXXX"
"RCIBANQUE S.A. – NOISY LE GRAND";"RCINFRPPXXX"
"ROTHSCHILD AND CIE BANQUE – PARIS";"RCBPFRPPXXX"
"ROTHSCHILD AND CIE BANQUE – PARIS";"RCBPFRPRXXX"
"SAARLB FRANCE – METZ";"SALAFR2MXXX"
"SAFRAN – PARIS";"SFRAFRPPXXX"
"SG ASSET MANAGEMENT – PARIS";"SGAMFRPPXXX"
"SG ASSET MANAGEMENT – PARIS";"SGAMFRPPADO"
"SG ASSET MANAGEMENT – PARIS";"SGAMFRPPALT"
"SG ASSET MANAGEMENT – PARIS";"SGAMFRPPNEG"
"SGAM BANQUE (FORMERLY BAREP BANQUE) – COURBEVOIE";"RPLAFRPPXXX"
"SINOPIA ASSET MANAGEMENT – PARIS";"SAMFFRPPXXX"
"SKANDINAVISKA ENSKILDA BANKEN, PARIS BRANCH – PARIS";"ESSEFRPXXXX"
"SOCIETE CENTRALE DE CREDIT MARITIME MUTUEL – PARIS";"CCBPFRPPMRT"
"SOCIETE DES PAIEMENTS PASS SA – EVRY";"SOAPFR22XXX"
"SOCIETE GENERALE – PARIS";"SOGEFRPPXXX"
"SOCRAM BANQUE – NIORT";"SORMFR2NXXX"
"SOFAX BANQUE – COURBEVOIE";"SFAXFRPPXXX"
"SOFIPROTEOL – PARIS";"SOFRFRPPXXX"
"STATE BANK OF INDIA, PARIS BRANCH – PARIS";"SBINFRPPXXX"
"SUEZ SA – PARIS";"SUFIFRPPXXX"
"SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED – PARIS";"SMBCFRPPXXX"
"SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED – PARIS";"SMBCFRPPGEB"
"SVENSKA HANDELSBANKEN AB – PARIS";"HANDFRPPXXX"
"THALES SA – NEUILLY SUR SEINE";"TCSFFRPPXXX"
"THE ROYAL BANK OF SCOTLAND N.V. (FRANCE) – PARIS";"ABNAFRPPXXX"
"THE ROYAL BANK OF SCOTLAND PLC PARIS BRANCH – PARIS";"RBOSFRPPXXX"
"TOTAL CAPITAL – PARIS";"TOCAFRPPXXX"
"TOTAL TREASURY – PARIS";"TTREFRPPXXX"
